,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,date
9971,9972,2011,2,20,11,282.0,-7,4.0,1029.0,1,2.67,0,0,2011-02-20 11:00:00
9972,9973,2011,2,20,12,379.0,-6,6.0,1028.0,3,1.79,0,0,2011-02-20 12:00:00
9973,9974,2011,2,20,13,437.0,-5,8.0,1027.0,1,1.79,0,0,2011-02-20 13:00:00
9974,9975,2011,2,20,14,477.0,-4,8.0,1026.0,3,1.79,0,0,2011-02-20 14:00:00
9975,9976,2011,2,20,15,510.0,-5,9.0,1026.0,3,3.58,0,0,2011-02-20 15:00:00
9976,9977,2011,2,20,16,526.0,-4,9.0,1026.0,3,5.37,0,0,2011-02-20 16:00:00
9977,9978,2011,2,20,17,492.0,-5,7.0,1025.0,3,6.26,0,0,2011-02-20 17:00:00
9978,9979,2011,2,20,18,472.0,-4,6.0,1026.0,3,8.05,0,0,2011-02-20 18:00:00
9979,9980,2011,2,20,19,474.0,-4,4.0,1026.0,1,0.89,0,0,2011-02-20 19:00:00
9980,9981,2011,2,20,20,482.0,-4,1.0,1026.0,1,1.78,0,0,2011-02-20 20:00:00
9981,9982,2011,2,20,21,482.0,-5,0.0,1026.0,1,2.67,0,0,2011-02-20 21:00:00
9982,9983,2011,2,20,22,477.0,-4,-1.0,1027.0,1,3.56,0,0,2011-02-20 22:00:00
9983,9984,2011,2,20,23,480.0,-4,-1.0,1026.0,1,4.01,0,0,2011-02-20 23:00:00
9984,9985,2011,2,21,0,527.0,-4,-2.0,1026.0,1,4.9,0,0,2011-02-21 00:00:00
9985,9986,2011,2,21,1,486.0,-4,-2.0,1026.0,2,0.89,0,0,2011-02-21 01:00:00
9986,9987,2011,2,21,2,493.0,-5,-3.0,1026.0,1,0.45,0,0,2011-02-21 02:00:00
9987,9988,2011,2,21,3,515.0,-6,-4.0,1026.0,2,0.89,0,0,2011-02-21 03:00:00
9988,9989,2011,2,21,4,595.0,-5,-2.0,1025.0,3,0.89,0,0,2011-02-21 04:00:00
9989,9990,2011,2,21,5,563.0,-5,-2.0,1025.0,1,0.89,0,0,2011-02-21 05:00:00
9990,9991,2011,2,21,6,563.0,-5,-3.0,1025.0,1,1.78,0,0,2011-02-21 06:00:00
9991,9992,2011,2,21,7,528.0,-6,-4.0,1026.0,0,1.79,0,0,2011-02-21 07:00:00
9992,9993,2011,2,21,8,515.0,-6,-5.0,1027.0,2,0.89,0,0,2011-02-21 08:00:00
9993,9994,2011,2,21,9,495.0,-2,0.0,1027.0,1,0.89,0,0,2011-02-21 09:00:00
9994,9995,2011,2,21,10,486.0,-2,1.0,1027.0,3,1.79,0,0,2011-02-21 10:00:00
9995,9996,2011,2,21,11,508.0,-2,3.0,1026.0,1,0.89,0,0,2011-02-21 11:00:00
9996,9997,2011,2,21,12,464.0,-2,4.0,1025.0,1,1.78,0,0,2011-02-21 12:00:00
9997,9998,2011,2,21,13,430.0,-2,5.0,1024.0,3,1.79,0,0,2011-02-21 13:00:00
9998,9999,2011,2,21,14,452.0,-3,7.0,1023.0,3,3.58,0,0,2011-02-21 14:00:00
9999,10000,2011,2,21,15,489.0,-3,7.0,1022.0,1,0.89,0,0,2011-02-21 15:00:00
10000,10001,2011,2,21,16,477.0,-4,7.0,1022.0,3,1.79,0,0,2011-02-21 16:00:00
10001,10002,2011,2,21,17,425.0,-5,6.0,1022.0,1,0.89,0,0,2011-02-21 17:00:00
10002,10003,2011,2,21,18,407.0,-6,2.0,1022.0,1,1.78,0,0,2011-02-21 18:00:00
10003,10004,2011,2,21,19,498.0,-4,2.0,1023.0,0,1.79,0,0,2011-02-21 19:00:00
10004,10005,2011,2,21,20,492.0,-4,1.0,1023.0,1,0.89,0,0,2011-02-21 20:00:00
10005,10006,2011,2,21,21,492.0,-4,0.0,1024.0,1,1.78,0,0,2011-02-21 21:00:00
10006,10007,2011,2,21,22,476.0,-4,-2.0,1024.0,1,2.67,0,0,2011-02-21 22:00:00
10007,10008,2011,2,21,23,478.0,-4,-2.0,1024.0,1,3.12,0,0,2011-02-21 23:00:00
10008,10009,2011,2,22,0,499.0,-6,-4.0,1024.0,2,0.89,0,0,2011-02-22 00:00:00
10009,10010,2011,2,22,1,489.0,-5,-3.0,1024.0,1,0.89,0,0,2011-02-22 01:00:00
10010,10011,2011,2,22,2,494.0,-6,-4.0,1023.0,0,0.89,0,0,2011-02-22 02:00:00
10011,10012,2011,2,22,3,481.0,-5,-3.0,1023.0,0,1.78,0,0,2011-02-22 03:00:00
10012,10013,2011,2,22,4,445.0,-5,-4.0,1022.0,0,2.67,0,0,2011-02-22 04:00:00
10013,10014,2011,2,22,5,431.0,-7,-5.0,1022.0,0,4.46,0,0,2011-02-22 05:00:00
10014,10015,2011,2,22,6,423.0,-6,-4.0,1022.0,0,6.25,0,0,2011-02-22 06:00:00
10015,10016,2011,2,22,7,457.0,-6,-4.0,1022.0,0,8.04,0,0,2011-02-22 07:00:00
10016,10017,2011,2,22,8,434.0,-5,-3.0,1023.0,0,9.83,0,0,2011-02-22 08:00:00
10017,10018,2011,2,22,9,391.0,-4,-1.0,1023.0,2,1.79,0,0,2011-02-22 09:00:00
10018,10019,2011,2,22,10,347.0,-4,2.0,1023.0,1,0.89,0,0,2011-02-22 10:00:00
10019,10020,2011,2,22,11,292.0,-6,3.0,1022.0,2,1.79,0,0,2011-02-22 11:00:00
10020,10021,2011,2,22,12,343.0,-6,5.0,1021.0,1,0.89,0,0,2011-02-22 12:00:00
10021,10022,2011,2,22,13,322.0,-5,6.0,1019.0,1,2.68,0,0,2011-02-22 13:00:00
10022,10023,2011,2,22,14,360.0,-5,7.0,1019.0,1,3.57,0,0,2011-02-22 14:00:00
10023,10024,2011,2,22,15,376.0,-5,8.0,1017.0,3,3.13,0,0,2011-02-22 15:00:00
10024,10025,2011,2,22,16,369.0,-5,8.0,1017.0,1,0.89,0,0,2011-02-22 16:00:00
10025,10026,2011,2,22,17,354.0,-5,7.0,1017.0,3,1.79,0,0,2011-02-22 17:00:00
10026,10027,2011,2,22,18,335.0,-5,5.0,1017.0,0,1.79,0,0,2011-02-22 18:00:00
10027,10028,2011,2,22,19,394.0,-5,2.0,1018.0,0,2.68,0,0,2011-02-22 19:00:00
10028,10029,2011,2,22,20,397.0,-5,1.0,1018.0,1,0.45,0,0,2011-02-22 20:00:00
10029,10030,2011,2,22,21,395.0,-5,0.0,1018.0,1,1.34,0,0,2011-02-22 21:00:00
10030,10031,2011,2,22,22,401.0,-6,-1.0,1018.0,1,2.23,0,0,2011-02-22 22:00:00
10031,10032,2011,2,22,23,406.0,-5,0.0,1018.0,1,3.12,0,0,2011-02-22 23:00:00
10032,10033,2011,2,23,0,399.0,-4,0.0,1018.0,1,4.01,0,0,2011-02-23 00:00:00
10033,10034,2011,2,23,1,373.0,-5,-3.0,1018.0,2,1.79,0,0,2011-02-23 01:00:00
10034,10035,2011,2,23,2,396.0,-5,-3.0,1017.0,2,2.68,0,0,2011-02-23 02:00:00
10035,10036,2011,2,23,3,461.0,-5,-3.0,1017.0,1,0.45,0,0,2011-02-23 03:00:00
10036,10037,2011,2,23,4,455.0,-5,-3.0,1017.0,2,0.89,0,0,2011-02-23 04:00:00
10037,10038,2011,2,23,5,415.0,-5,-2.0,1017.0,0,1.79,0,0,2011-02-23 05:00:00
10038,10039,2011,2,23,6,406.0,-5,-3.0,1017.0,0,2.68,0,0,2011-02-23 06:00:00
10039,10040,2011,2,23,7,421.0,-5,-3.0,1017.0,0,4.47,0,0,2011-02-23 07:00:00
10040,10041,2011,2,23,8,420.0,-4,-1.0,1017.0,0,7.6,0,0,2011-02-23 08:00:00
10041,10042,2011,2,23,9,393.0,-4,0.0,1017.0,0,9.39,0,0,2011-02-23 09:00:00
10042,10043,2011,2,23,10,389.0,-4,2.0,1017.0,2,0.89,0,0,2011-02-23 10:00:00
10043,10044,2011,2,23,11,401.0,-4,4.0,1016.0,0,1.79,0,0,2011-02-23 11:00:00
10044,10045,2011,2,23,12,403.0,-4,5.0,1015.0,3,3.13,0,0,2011-02-23 12:00:00
10045,10046,2011,2,23,13,406.0,-3,7.0,1014.0,3,6.26,0,0,2011-02-23 13:00:00
10046,10047,2011,2,23,14,469.0,-3,8.0,1013.0,3,9.39,0,0,2011-02-23 14:00:00
10047,10048,2011,2,23,15,409.0,-3,9.0,1013.0,3,11.18,0,0,2011-02-23 15:00:00
10048,10049,2011,2,23,16,397.0,-3,9.0,1012.0,1,0.89,0,0,2011-02-23 16:00:00
10049,10050,2011,2,23,17,387.0,-2,8.0,1012.0,1,1.78,0,0,2011-02-23 17:00:00
10050,10051,2011,2,23,18,396.0,-3,6.0,1013.0,0,1.79,0,0,2011-02-23 18:00:00
10051,10052,2011,2,23,19,436.0,-4,3.0,1013.0,0,4.92,0,0,2011-02-23 19:00:00
10052,10053,2011,2,23,20,470.0,-4,3.0,1014.0,0,8.05,0,0,2011-02-23 20:00:00
10053,10054,2011,2,23,21,451.0,-4,3.0,1015.0,0,11.18,0,0,2011-02-23 21:00:00
10054,10055,2011,2,23,22,436.0,-3,3.0,1015.0,0,14.31,0,0,2011-02-23 22:00:00
10055,10056,2011,2,23,23,411.0,-3,3.0,1015.0,0,18.33,0,0,2011-02-23 23:00:00
10056,10057,2011,2,24,0,418.0,-3,2.0,1016.0,0,22.35,0,0,2011-02-24 00:00:00
10057,10058,2011,2,24,1,424.0,-3,2.0,1017.0,0,23.24,0,0,2011-02-24 01:00:00
10058,10059,2011,2,24,2,413.0,-4,0.0,1017.0,0,26.37,0,0,2011-02-24 02:00:00
10059,10060,2011,2,24,3,404.0,-4,1.0,1017.0,0,28.16,0,0,2011-02-24 03:00:00
10060,10061,2011,2,24,4,397.0,-5,-3.0,1018.0,0,32.18,0,0,2011-02-24 04:00:00
10061,10062,2011,2,24,5,285.0,-5,-3.0,1018.0,0,36.2,0,0,2011-02-24 05:00:00
10062,10063,2011,2,24,6,215.0,-5,-2.0,1019.0,0,39.33,0,0,2011-02-24 06:00:00
10063,10064,2011,2,24,7,136.0,-7,-2.0,1020.0,0,43.35,0,0,2011-02-24 07:00:00
10064,10065,2011,2,24,8,119.0,-8,3.0,1022.0,0,48.27,0,0,2011-02-24 08:00:00
10065,10066,2011,2,24,9,38.0,-10,6.0,1023.0,0,53.19,0,0,2011-02-24 09:00:00
10066,10067,2011,2,24,10,16.0,-13,8.0,1023.0,2,4.92,0,0,2011-02-24 10:00:00
10067,10068,2011,2,24,11,13.0,-14,9.0,1023.0,0,4.92,0,0,2011-02-24 11:00:00
10068,10069,2011,2,24,12,17.0,-15,9.0,1023.0,2,4.02,0,0,2011-02-24 12:00:00
10069,10070,2011,2,24,13,23.0,-16,10.0,1022.0,2,8.04,0,0,2011-02-24 13:00:00
10070,10071,2011,2,24,14,29.0,-17,11.0,1022.0,0,4.02,0,0,2011-02-24 14:00:00
10071,10072,2011,2,24,15,34.0,-18,11.0,1022.0,0,8.04,0,0,2011-02-24 15:00:00
10072,10073,2011,2,24,16,28.0,-19,11.0,1022.0,0,12.96,0,0,2011-02-24 16:00:00
10073,10074,2011,2,24,17,24.0,-19,11.0,1022.0,0,17.88,0,0,2011-02-24 17:00:00
10074,10075,2011,2,24,18,21.0,-17,7.0,1023.0,1,0.89,0,0,2011-02-24 18:00:00
10075,10076,2011,2,24,19,41.0,-16,6.0,1023.0,3,3.13,0,0,2011-02-24 19:00:00
10076,10077,2011,2,24,20,52.0,-3,3.0,1025.0,3,8.05,0,0,2011-02-24 20:00:00
10077,10078,2011,2,24,21,142.0,-5,1.0,1026.0,3,12.97,0,0,2011-02-24 21:00:00
10078,10079,2011,2,24,22,99.0,-6,0.0,1028.0,3,16.99,0,0,2011-02-24 22:00:00
10079,10080,2011,2,24,23,55.0,-6,-1.0,1029.0,3,20.12,0,0,2011-02-24 23:00:00
10080,10081,2011,2,25,0,55.0,-6,-1.0,1030.0,3,21.91,0,0,2011-02-25 00:00:00
10081,10082,2011,2,25,1,53.0,-6,-3.0,1030.0,3,22.8,0,0,2011-02-25 01:00:00
10082,10083,2011,2,25,2,67.0,-6,-4.0,1030.0,1,0.89,0,0,2011-02-25 02:00:00
10083,10084,2011,2,25,3,72.0,-6,-4.0,1030.0,3,0.89,0,0,2011-02-25 03:00:00
10084,10085,2011,2,25,4,77.0,-6,-4.0,1030.0,1,0.45,0,0,2011-02-25 04:00:00
10085,10086,2011,2,25,5,75.0,-7,-5.0,1031.0,1,0.9,0,0,2011-02-25 05:00:00
10086,10087,2011,2,25,6,80.0,-5,-4.0,1031.0,1,1.35,0,0,2011-02-25 06:00:00
10087,10088,2011,2,25,7,106.0,-7,-5.0,1032.0,0,1.79,0,0,2011-02-25 07:00:00
10088,10089,2011,2,25,8,95.0,-4,-3.0,1033.0,2,0.89,0,0,2011-02-25 08:00:00
10089,10090,2011,2,25,9,100.0,-7,0.0,1034.0,1,0.89,0,0,2011-02-25 09:00:00
10090,10091,2011,2,25,10,98.0,-7,2.0,1034.0,3,1.79,0,0,2011-02-25 10:00:00
10091,10092,2011,2,25,11,79.0,-9,4.0,1034.0,1,0.89,0,0,2011-02-25 11:00:00
10092,10093,2011,2,25,12,74.0,-8,5.0,1033.0,3,1.79,0,0,2011-02-25 12:00:00
10093,10094,2011,2,25,13,71.0,-9,6.0,1032.0,3,3.58,0,0,2011-02-25 13:00:00
10094,10095,2011,2,25,14,75.0,-10,6.0,1031.0,3,6.71,0,0,2011-02-25 14:00:00
10095,10096,2011,2,25,15,73.0,-10,7.0,1031.0,3,9.84,0,0,2011-02-25 15:00:00
10096,10097,2011,2,25,16,53.0,-10,6.0,1030.0,3,11.63,0,0,2011-02-25 16:00:00
10097,10098,2011,2,25,17,47.0,-11,5.0,1030.0,3,14.76,0,0,2011-02-25 17:00:00
10098,10099,2011,2,25,18,44.0,-12,5.0,1030.0,3,17.89,0,0,2011-02-25 18:00:00
10099,10100,2011,2,25,19,61.0,-10,4.0,1030.0,3,21.91,0,0,2011-02-25 19:00:00
10100,10101,2011,2,25,20,78.0,-10,4.0,1030.0,3,25.93,0,0,2011-02-25 20:00:00
10101,10102,2011,2,25,21,55.0,-11,3.0,1031.0,3,29.95,0,0,2011-02-25 21:00:00
10102,10103,2011,2,25,22,62.0,-11,2.0,1030.0,3,33.08,0,0,2011-02-25 22:00:00
10103,10104,2011,2,25,23,52.0,-13,1.0,1031.0,3,36.21,0,0,2011-02-25 23:00:00
10104,10105,2011,2,26,0,42.0,-13,1.0,1031.0,3,41.13,0,0,2011-02-26 00:00:00
10105,10106,2011,2,26,1,42.0,-11,0.0,1031.0,3,44.26,0,0,2011-02-26 01:00:00
10106,10107,2011,2,26,2,39.0,-9,0.0,1030.0,3,46.05,0,0,2011-02-26 02:00:00
10107,10108,2011,2,26,3,35.0,-7,0.0,1029.0,3,47.84,0,0,2011-02-26 03:00:00
10108,10109,2011,2,26,4,36.0,-6,-1.0,1029.0,0,1.79,1,0,2011-02-26 04:00:00
10109,10110,2011,2,26,5,30.0,-3,-3.0,1029.0,1,0.89,2,0,2011-02-26 05:00:00
10110,10111,2011,2,26,6,44.0,-3,-3.0,1028.0,3,1.79,3,0,2011-02-26 06:00:00
10111,10112,2011,2,26,7,52.0,-3,-3.0,1028.0,3,3.58,4,0,2011-02-26 07:00:00
10112,10113,2011,2,26,8,58.0,-3,-3.0,1028.0,3,5.37,5,0,2011-02-26 08:00:00
10113,10114,2011,2,26,9,71.0,-3,-3.0,1027.0,3,7.16,6,0,2011-02-26 09:00:00
10114,10115,2011,2,26,10,79.0,-3,-2.0,1027.0,3,8.95,7,0,2011-02-26 10:00:00
10115,10116,2011,2,26,11,77.0,-3,-2.0,1026.0,3,12.08,8,0,2011-02-26 11:00:00
10116,10117,2011,2,26,12,71.0,-3,-2.0,1026.0,1,0.89,0,0,2011-02-26 12:00:00
10117,10118,2011,2,26,13,80.0,-3,-1.0,1025.0,1,1.78,0,0,2011-02-26 13:00:00
10118,10119,2011,2,26,14,85.0,-3,-1.0,1024.0,1,2.67,0,0,2011-02-26 14:00:00
10119,10120,2011,2,26,15,96.0,-3,0.0,1023.0,1,3.56,0,0,2011-02-26 15:00:00
10120,10121,2011,2,26,16,111.0,-3,0.0,1023.0,1,4.45,0,0,2011-02-26 16:00:00
10121,10122,2011,2,26,17,108.0,-4,-1.0,1023.0,2,1.79,0,0,2011-02-26 17:00:00
10122,10123,2011,2,26,18,122.0,-4,-1.0,1024.0,3,0.89,0,0,2011-02-26 18:00:00
10123,10124,2011,2,26,19,109.0,-4,-3.0,1025.0,3,1.78,0,0,2011-02-26 19:00:00
10124,10125,2011,2,26,20,115.0,-3,-2.0,1025.0,1,0.45,0,0,2011-02-26 20:00:00
10125,10126,2011,2,26,21,103.0,-3,-1.0,1026.0,0,1.79,0,0,2011-02-26 21:00:00
10126,10127,2011,2,26,22,109.0,-3,0.0,1026.0,0,4.92,0,0,2011-02-26 22:00:00
10127,10128,2011,2,26,23,116.0,-3,0.0,1026.0,0,6.71,0,0,2011-02-26 23:00:00
10128,10129,2011,2,27,0,125.0,-3,-1.0,1026.0,2,0.89,0,0,2011-02-27 00:00:00
10129,10130,2011,2,27,1,127.0,-3,-2.0,1027.0,1,0.89,0,0,2011-02-27 01:00:00
10130,10131,2011,2,27,2,127.0,-3,-1.0,1027.0,0,1.79,0,0,2011-02-27 02:00:00
10131,10132,2011,2,27,3,123.0,-3,-1.0,1026.0,0,4.92,0,0,2011-02-27 03:00:00
10132,10133,2011,2,27,4,115.0,-3,-1.0,1026.0,0,8.05,0,0,2011-02-27 04:00:00
10133,10134,2011,2,27,5,105.0,-3,0.0,1026.0,0,9.84,0,0,2011-02-27 05:00:00
10134,10135,2011,2,27,6,90.0,-3,-1.0,1027.0,3,1.79,1,0,2011-02-27 06:00:00
10135,10136,2011,2,27,7,66.0,-4,0.0,1028.0,2,3.13,2,0,2011-02-27 07:00:00
10136,10137,2011,2,27,8,59.0,-2,-1.0,1029.0,2,7.15,3,0,2011-02-27 08:00:00
10137,10138,2011,2,27,9,39.0,-3,-1.0,1029.0,2,12.07,4,0,2011-02-27 09:00:00
10138,10139,2011,2,27,10,35.0,-4,-1.0,1030.0,2,19.22,5,0,2011-02-27 10:00:00
10139,10140,2011,2,27,11,35.0,-3,-2.0,1030.0,2,25.03,6,0,2011-02-27 11:00:00
10140,10141,2011,2,27,12,26.0,-3,-1.0,1029.0,2,32.18,7,0,2011-02-27 12:00:00
10141,10142,2011,2,27,13,31.0,-4,-1.0,1028.0,2,39.33,0,0,2011-02-27 13:00:00
10142,10143,2011,2,27,14,31.0,-4,1.0,1027.0,2,43.35,0,0,2011-02-27 14:00:00
10143,10144,2011,2,27,15,34.0,-5,1.0,1027.0,2,49.16,0,0,2011-02-27 15:00:00
10144,10145,2011,2,27,16,35.0,-7,2.0,1026.0,2,54.97,0,0,2011-02-27 16:00:00
10145,10146,2011,2,27,17,26.0,-7,1.0,1026.0,2,58.99,0,0,2011-02-27 17:00:00
10146,10147,2011,2,27,18,28.0,-8,1.0,1026.0,2,63.01,0,0,2011-02-27 18:00:00
10147,10148,2011,2,27,19,29.0,-8,0.0,1026.0,2,66.14,0,0,2011-02-27 19:00:00
10148,10149,2011,2,27,20,29.0,-7,0.0,1027.0,2,69.27,0,0,2011-02-27 20:00:00
10149,10150,2011,2,27,21,29.0,-8,0.0,1027.0,2,73.29,0,0,2011-02-27 21:00:00
10150,10151,2011,2,27,22,32.0,-8,-3.0,1028.0,0,3.13,0,0,2011-02-27 22:00:00
10151,10152,2011,2,27,23,29.0,-8,-3.0,1028.0,2,1.79,0,0,2011-02-27 23:00:00
10152,10153,2011,2,28,0,25.0,-9,-2.0,1027.0,0,1.79,0,0,2011-02-28 00:00:00
10153,10154,2011,2,28,1,31.0,-9,-3.0,1028.0,0,4.92,0,0,2011-02-28 01:00:00
10154,10155,2011,2,28,2,29.0,-10,-1.0,1027.0,2,4.02,0,0,2011-02-28 02:00:00
10155,10156,2011,2,28,3,26.0,-9,-1.0,1027.0,0,3.13,0,0,2011-02-28 03:00:00
10156,10157,2011,2,28,4,25.0,-10,-2.0,1027.0,0,6.26,0,0,2011-02-28 04:00:00
10157,10158,2011,2,28,5,15.0,-10,-2.0,1026.0,0,8.05,0,0,2011-02-28 05:00:00
10158,10159,2011,2,28,6,20.0,-11,-3.0,1026.0,0,9.84,0,0,2011-02-28 06:00:00
10159,10160,2011,2,28,7,32.0,-10,-3.0,1027.0,0,12.97,0,0,2011-02-28 07:00:00
10160,10161,2011,2,28,8,37.0,-9,-2.0,1029.0,0,16.99,0,0,2011-02-28 08:00:00
10161,10162,2011,2,28,9,37.0,-10,0.0,1029.0,0,20.12,0,0,2011-02-28 09:00:00
10162,10163,2011,2,28,10,18.0,-11,2.0,1028.0,0,23.25,0,0,2011-02-28 10:00:00
10163,10164,2011,2,28,11,20.0,-12,3.0,1028.0,0,29.06,0,0,2011-02-28 11:00:00
10164,10165,2011,2,28,12,13.0,-11,4.0,1028.0,0,33.98,0,0,2011-02-28 12:00:00
10165,10166,2011,2,28,13,12.0,-12,5.0,1026.0,0,39.79,0,0,2011-02-28 13:00:00
10166,10167,2011,2,28,14,12.0,-13,6.0,1026.0,0,46.94,0,0,2011-02-28 14:00:00
10167,10168,2011,2,28,15,12.0,-13,6.0,1025.0,0,51.86,0,0,2011-02-28 15:00:00
10168,10169,2011,2,28,16,15.0,-12,6.0,1024.0,0,55.88,0,0,2011-02-28 16:00:00
10169,10170,2011,2,28,17,20.0,-13,5.0,1025.0,0,59.9,0,0,2011-02-28 17:00:00
10170,10171,2011,2,28,18,16.0,-12,5.0,1025.0,0,64.82,0,0,2011-02-28 18:00:00
10171,10172,2011,2,28,19,18.0,-12,4.0,1026.0,0,69.74,0,0,2011-02-28 19:00:00
10172,10173,2011,2,28,20,15.0,-12,3.0,1026.0,0,74.66,0,0,2011-02-28 20:00:00
10173,10174,2011,2,28,21,8.0,-12,2.0,1027.0,0,78.68,0,0,2011-02-28 21:00:00
10174,10175,2011,2,28,22,7.0,-12,2.0,1028.0,0,83.6,0,0,2011-02-28 22:00:00
10175,10176,2011,2,28,23,8.0,-12,1.0,1028.0,0,88.52,0,0,2011-02-28 23:00:00
10176,10177,2011,3,1,0,12.0,-11,-1.0,1028.0,0,93.44,0,0,2011-03-01 00:00:00
10177,10178,2011,3,1,1,9.0,-12,-2.0,1028.0,2,3.13,0,0,2011-03-01 01:00:00
10178,10179,2011,3,1,2,9.0,-12,-4.0,1028.0,0,3.13,0,0,2011-03-01 02:00:00
10179,10180,2011,3,1,3,11.0,-12,-4.0,1028.0,0,6.26,0,0,2011-03-01 03:00:00
10180,10181,2011,3,1,4,17.0,-12,-3.0,1028.0,0,8.05,0,0,2011-03-01 04:00:00
10181,10182,2011,3,1,5,9.0,-13,-4.0,1028.0,0,9.84,0,0,2011-03-01 05:00:00
10182,10183,2011,3,1,6,11.0,-15,-4.0,1028.0,0,14.76,0,0,2011-03-01 06:00:00
10183,10184,2011,3,1,7,12.0,-15,-4.0,1028.0,0,19.68,0,0,2011-03-01 07:00:00
10184,10185,2011,3,1,8,17.0,-15,-2.0,1029.0,0,24.6,0,0,2011-03-01 08:00:00
10185,10186,2011,3,1,9,20.0,-15,0.0,1028.0,0,28.62,0,0,2011-03-01 09:00:00
10186,10187,2011,3,1,10,18.0,-17,2.0,1028.0,0,35.77,0,0,2011-03-01 10:00:00
10187,10188,2011,3,1,11,28.0,-16,2.0,1027.0,0,40.69,0,0,2011-03-01 11:00:00
10188,10189,2011,3,1,12,16.0,-17,4.0,1026.0,0,46.5,0,0,2011-03-01 12:00:00
10189,10190,2011,3,1,13,16.0,-17,4.0,1025.0,0,49.63,0,0,2011-03-01 13:00:00
10190,10191,2011,3,1,14,11.0,-17,6.0,1023.0,0,56.78,0,0,2011-03-01 14:00:00
10191,10192,2011,3,1,15,19.0,-17,7.0,1022.0,0,64.83,0,0,2011-03-01 15:00:00
10192,10193,2011,3,1,16,17.0,-17,7.0,1022.0,0,73.77,0,0,2011-03-01 16:00:00
10193,10194,2011,3,1,17,15.0,-16,6.0,1021.0,0,81.82,0,0,2011-03-01 17:00:00
10194,10195,2011,3,1,18,14.0,-16,5.0,1021.0,0,87.63,0,0,2011-03-01 18:00:00
10195,10196,2011,3,1,19,28.0,-15,5.0,1022.0,0,92.55,0,0,2011-03-01 19:00:00
10196,10197,2011,3,1,20,80.0,-15,3.0,1023.0,0,96.57,0,0,2011-03-01 20:00:00
10197,10198,2011,3,1,21,87.0,-14,0.0,1024.0,0,100.59,0,0,2011-03-01 21:00:00
10198,10199,2011,3,1,22,51.0,-14,0.0,1025.0,0,104.61,0,0,2011-03-01 22:00:00
10199,10200,2011,3,1,23,37.0,-15,0.0,1026.0,0,108.63,0,0,2011-03-01 23:00:00
10200,10201,2011,3,2,0,9.0,-18,1.0,1026.0,0,115.78,0,0,2011-03-02 00:00:00
10201,10202,2011,3,2,1,11.0,-16,-1.0,1026.0,0,121.59,0,0,2011-03-02 01:00:00
10202,10203,2011,3,2,2,14.0,-16,-2.0,1026.0,0,124.72,0,0,2011-03-02 02:00:00
10203,10204,2011,3,2,3,11.0,-16,-4.0,1026.0,2,3.13,0,0,2011-03-02 03:00:00
10204,10205,2011,3,2,4,12.0,-16,-3.0,1026.0,1,0.89,0,0,2011-03-02 04:00:00
10205,10206,2011,3,2,5,15.0,-15,-5.0,1026.0,1,1.78,0,0,2011-03-02 05:00:00
10206,10207,2011,3,2,6,29.0,-15,-4.0,1026.0,1,2.67,0,0,2011-03-02 06:00:00
10207,10208,2011,3,2,7,44.0,-14,-7.0,1027.0,1,3.12,0,0,2011-03-02 07:00:00
10208,10209,2011,3,2,8,33.0,-12,-3.0,1028.0,0,1.79,0,0,2011-03-02 08:00:00
10209,10210,2011,3,2,9,22.0,-15,0.0,1028.0,2,3.13,0,0,2011-03-02 09:00:00
10210,10211,2011,3,2,10,27.0,-16,2.0,1028.0,1,0.89,0,0,2011-03-02 10:00:00
10211,10212,2011,3,2,11,26.0,-16,4.0,1027.0,1,4.02,0,0,2011-03-02 11:00:00
10212,10213,2011,3,2,12,18.0,-16,5.0,1026.0,0,5.81,0,0,2011-03-02 12:00:00
10213,10214,2011,3,2,13,27.0,-17,6.0,1024.0,0,10.73,0,0,2011-03-02 13:00:00
10214,10215,2011,3,2,14,10.0,-18,7.0,1023.0,0,16.54,0,0,2011-03-02 14:00:00
10215,10216,2011,3,2,15,16.0,-18,8.0,1023.0,0,25.48,0,0,2011-03-02 15:00:00
10216,10217,2011,3,2,16,32.0,-17,8.0,1022.0,0,34.42,0,0,2011-03-02 16:00:00
10217,10218,2011,3,2,17,49.0,-17,7.0,1022.0,0,41.57,0,0,2011-03-02 17:00:00
10218,10219,2011,3,2,18,40.0,-13,6.0,1023.0,0,46.49,0,0,2011-03-02 18:00:00
10219,10220,2011,3,2,19,69.0,-16,4.0,1024.0,0,50.51,0,0,2011-03-02 19:00:00
10220,10221,2011,3,2,20,42.0,-15,3.0,1025.0,0,55.43,0,0,2011-03-02 20:00:00
10221,10222,2011,3,2,21,20.0,-16,3.0,1026.0,0,60.35,0,0,2011-03-02 21:00:00
10222,10223,2011,3,2,22,20.0,-16,3.0,1026.0,0,66.16,0,0,2011-03-02 22:00:00
10223,10224,2011,3,2,23,16.0,-15,2.0,1027.0,0,71.97,0,0,2011-03-02 23:00:00
10224,10225,2011,3,3,0,9.0,-16,1.0,1028.0,0,81.8,0,0,2011-03-03 00:00:00
10225,10226,2011,3,3,1,8.0,-16,0.0,1028.0,0,89.85,0,0,2011-03-03 01:00:00
10226,10227,2011,3,3,2,9.0,-16,0.0,1028.0,0,97.0,0,0,2011-03-03 02:00:00
